index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
12,뭔가 할 말이라도.. 음,방안에 습기가 차서 매우 불쾌해,Z(말을 걸어 볼까?)|한다|...(반응이 없다.)|안 한다|..? (쳐다보다가 말았다.),자주 시켜 먹으니까 건강이 나빠지는 듯 해,아래층에는 TV가 있어서 덜 지루한 기분이야,Z신문을 자주 읽는 편이니?|읽어|가끔 신문을 보다 보면 내가 모르는 세상에 대해 궁금해져|안 읽어|어려운 용어와 글자가 많아서 손이 가는 편은 아닐거야,목이 마른 데 물을 마셔야겠어. 이따가 마실 생각이야,(팔과 다리를 가볍게 스트레칭하고 있다.),잎이 떨어지고 붉게 물든다면 가을이 찾아온다는 소식이지,친절한 사람은 만나는 것보다 되는 것이 어려워 ..아직도 배울 것이 많아
13,밖에 비가 오는구나,뭔가를 먹고 싶은데 그거조차도 귀찮아,시원한 탄산음료를 마시고 싶어 ,밀가루 음식을 자주 먹으니까 살이 찌는 기분이야,냉장고가 있다면 음식을 보관하겠지 ..더 다양한 음식을 만들 수 있지 않을까,냉장고가 있다면 음식을 보관하겠지 ..더 다양한 음식을 만들 수 있지 않을까,밖으로 나간다는 것은 작은 모험과도 같아,마음속의 보슬비가 맑은 하늘을 보는 그날까지 ..언젠가는,함박눈이 펑펑 내리는 겨울날에 따뜻한 호빵을 먹고 싶어,쳐지는 기분을 떨쳐내기 위해서는 무엇을 해야 좋을까 ..음 어려운 생각이네
14,흐음.. 음..,장마가 끝나기는 할까..? 언젠가는,간지러워서 밑을 봤는데 작은 벌레가 기어가고 있었어..,쓰레기를 버리러 가야하는데 ..나가기 귀찮아,집 안에 식물이 있다면 좀 더 화사한 기분이 들지 않을까 하고 생각해,집 안에 식물이 있다면 좀 더 화사한 기분이 들지 않을까 하고 생각해,Z내가 아직 못 가본 세상은 얼마나 넓을까?|많이|방이 이렇게 작으니까 밖은 훨씬 넓을 거라고 생각해|조금|생각보다 작을 수도 있겠네 ..음,(창문을 쳐다봤다.) ..너도 창문 보는 거 좋아하는구나,매미 소리가 들려오는 어린 시절 여름날이 그리울 때가 있어,누군가 다가오는 것이 싫을 때도 있지만 계속 다가온다면 그것에 익숙해지는 걸까
15,..머리가 무거워,움직이기 귀찮아,여기서 밖에 나가면 뭐가 있을까,오늘도 내일도 온종일 집에만 있을 예정이야 ..언젠가 나가겠지,..언젠가 외출할 수 있는 날이 다가올 거야 ,위층은 잠자기 좋은 장소인 거 같아 ..아늑해,뭉게구름을 본 기억이 점점 희미해져.. 언젠가 볼 수 있겠지,벽지가 깔끔하니 보기 좋은 거 같아. 진작에 그럴 걸 예전에는..,Z(창문을 쳐다보고 있다.) |같이본다|너도 창문을 보는 것을 좋아하는 편이구나|안 본다|창밖을 보면 여러 가지를 볼 수 있어. 나중에 보렴,마음속에 비가 내릴 때도 있겠지만 거부하지 않겠어. 흐린 뒤에는 언젠가 맑은 날이 찾아올 테니까
16,(작은 기침 소리가 난다.),이 비는 언제까지 내릴까.. 그치기는 할까,Z밖에는 나와 같은 사람들이 있을까?|있어|나와 같구나 ..음|없어|그럼 다들 어떤 사람들일까 ..음,(심하게 기침을 한다 ..이내 잠잠해졌다.),생각을 한다는 것은 쉬우면서도 어려운 법이야 ,아래층은 밥 먹기 좋은 장소야 ..딱 봐도 그렇지,음.. 그냥 이것저것 생각하고 있었어,음.. 이따가 외출이나 해볼까 아니면 집에 있을까.. 고민이네,벽지가 깔끔하니 보기 좋은 거 같아. 진작에 그럴 걸 예전에는 왜 안 했을까,Z누군가를 위해 울어준다는 것은 ..좋은 일일까?|좋은 일|함께 눈물을 흘린다면 위로를 더 받는 기분일 수도.. 슬픔을 공유하면 사라지는데 도움이 될 수 있으니까|모르겠어|..나 때문에 눈물이 흐르니까 더 슬플지도 모르겠어. 그래서 더 모르겠어
17,저밖에 뭐가 보이는데,(아무것도 안 하고 있다),작지만 방이 있다는 것이 정말 좋아,위에 먼지가 많이 쌓였어. 언젠가 청소를 해야겠지,지금 밖에 비가 많이 내려서 바깥에 있는 사람들이 힘들 거 같아,가족들이 건강하게 잘 계신다는 것은 좋은 일이야,이제 계속 사 먹는 것보다 뭔가를 만들어서 먹고 싶어,사람은 기분에 따라 행동을 다르게 하지. 좋은 점도 있고 나쁜 점도 있어,나중에 같이 어딘가로 여행가면 ..좋을까,이기심이 마음을 지배할 때도 있지만 떨쳐내려고 노력한다면.. 쉽지는 않지만
18,밖에 저것은 뭘까,밖에 뭐가 보이는 것 같은데 저건 뭘까,비싸긴 해도 뭔가를 사 먹어야겠지,이런 날씨에 우산은 필수야 ..아니면 우비 옷을 입어도 좋고,(크게 재채기를 한 소리가 난다. 다행히 기침은 아닌 듯하다.),잠에서 깨어나 보니 오전이 훌쩍 지나간 적이 있었어,먹구름 사이에 햇빛을 본다면 조금이라도 기분이 좋을 텐데,아침에 일어나서 가볍게 스트레칭을 하면 몸이 가뿐해져,Z어딘가로 여행을 떠난다면 어디로 가는 것이 좋을까|산|어릴 때 산에서 벌레에 물린 기억이 나. 힘들었지만 정상에 도착하면 좋았어|바다|바닷가에서 놀면 시원할거야 ..함께가면 더 좋을지도 몰라,(하늘을 쳐다본다.) 이제 날씨가 맑아도 비가와도 어느 쪽이든 괜찮아
19,(콜록 콜록),몸이 끈적거리는 거 정말 싫어,더 이상 물이 새지 않았으면 좋겠어,방을 다니다가 작은 돌이 밟혔어 ..청소가 덜 된 거 같아,(눈이 마주치자 살짝 눈이 커졌다가 이내 원래 표정으로 돌아왔다.),(어디선가 꼬르륵 소리가 났다) ..크흠,사람은 기분에 따라 행동을 다르게 해,비 오는 소리가 점점 줄어드는 건 기분 탓일까 ..정말이면 좋겠는데,책을 읽다가 고대 유적지를 봤어. 언젠가 구경하러 가고 싶어,Z(작게 흥얼거리는 소리가 난다.) |쳐다본다|..노래 부르지 않았어. 정말이야 (볼이 빨개졌다.)|무시한다|(조금 더 크게 흥얼거리는 듯 하다.)
20,모든 게 귀찮아,내가 밖으로 나갈 용기가 생기긴 할까.. 언젠가는,아침에는 항상 일어나기 귀찮아.. 어째서일까,가끔 천장에서 부스럭 거리는 소리가 나는데 ..뭘까?,라디오에서 가끔 클래식 음악이 나오는데 듣기 좋아,정말 맛있는 음식을 잔뜩 먹어보고 싶어. 건강에는 안 좋겠지만,기름진 음식을 잔뜩 먹고 싶지만 매일 먹으면 건강에 안 좋겠지,사람마다 직접 경험한 것이 다르기에 쉽게 공감하기 어려워. 못 한다고 잘못된 건 아니야,요즘 사람들이 얼굴을 마주 보며 대화하는 시간이 얼마나 될까.. 바쁘게 살아가고 있으니까,의미없는 하루를 보내도 나쁘지 않다고 생각해. 내일이 있으니까
21,사는 게 지루하고 재미없어,손이 좀 시린 거 같아 따뜻한 무언가 필요해,이런 날씨에는 선크림도 필요 없겠지,Z(무엇을 하고 있는지 물어볼까?)|물어본다|..그냥 숨을 쉬고 있어. 숨쉬기 운동|관둔다|(조용히 숨을 쉬고 있다.),(가전제품을 쳐다보고 있다.),미세먼지가 심한 날에는 외출을 자제하는 편이 좋지 ..하지만 사회가 허락하지 않지,요즘에는 천원으로 간식을 사 먹기 힘든 거 같아 ..어릴 때는 안 그랬는데,음..나중에 같이 어딘가로 간다면 ..흐음,시야를 넓힌다는 것은 주어진 과제처럼 어렵고 힘든 일이야,요즘 잠을 자는 게 두렵지 않아. 예전에는 어두운 밤이 찾아오면 두려웠거든
22,요즘 힘이 없어,음.. 있잖아...아니야 아무것도..,밤에 가끔 고양이 소리가 들려와. 앉아있다가는 걸까?,바람이 너무 부니까 벽에서 쿵 소리가 난 적이 있어 ..조금 무서웠지,(하품하다가 눈에 맺힌 눈물을 닦고 있다.),예전에는 마음속의 비가 주룩주룩 내렸다면 요즘은 보슬비처럼 내려와,미세먼지가 심한 날에는 외출을 삼가고 싶어. 이제 건강을 챙기고 싶거든,심장 소리를 듣고 있으면 내가 살아있다는 것을 느낄 수 있어,Z(시선이 느껴진다. 고개를 돌려볼까?)|한다|(눈이 마주치자 살짝 웃었다. 그렇게)|안 한다|..음(짧은 소리가 들린다.),잠을 자면 내일이 찾아온다는 것이 싫었지만 지금은 아니야
23,..휴 (한숨),먹고 싶은 음식은 평생 못 먹겠지,음식을 자주 시켜 먹으니까 건강이 나빠지는 기분이야,이런 날씨에 자전거를 탈 수는 없겠지,(손바닥과 발바닥을 비교하고 있다. 생각보다 작아 보인다.),아침에 일어나는 건 항상 힘들지만 그래도 일어나야지. 하루를 시작하기 위해서는,동네 근처에 24시간 세탁소가 생겨서 좋아,(창밖에서 고양이 소리가 희미하게 난다.),지금 노래를 부른다면 너 말고 들어주는 사람은 없겠지,요리를 하고 난 뒤에 뒷정리한다는 것은 항상 귀찮아 ..이건 안 고쳐지려나
24,여긴 정말 눅눅해,햇빛이 얼마나 밝았고 따뜻했는지.. 이제는 기억이 안 나,밀가루 음식을 자주 먹으니까 살이 찌는 기분이 들어,저번에 창밖으로 커다란 차가 지나가길래 집이 흔들렸어,(피곤해 보이는지 졸고 있다.),아직도 바람에 창문이 흔들리지만 버틸만해,아침에 일어나서 가볍게 스트레칭을 하면 몸이 가뿐해져,Z청소를 자주하는 편이니?|응|나도 이제 청소를 하는 편인데 먼지는 매일 생기니까 어쩔 수 없나 봐|아니|자주하는 것이 힘들면 몰아서 한꺼번에 하는 것도 나쁘지 않을 거 같아,(천장을 따라 시선을 옮기니 거미와 마주쳤다.),먹구름 위에는 해가 반짝이며 우리를 기다리고 있겠지
25,..퀘퀘한 냄새,예전에는 내가 무엇을 하며 지냈는지 기억이 안 나,아침에 새들이 창문에 앉아있다가 가버려,새를 기르고 싶지만 새장에 가둬두고 싶지는 않아. 나도 갇혀있는 건 싫은걸,밤에는 졸릴 때도 있고 안 졸릴 때도 있어,무언가를 기다린다는 것은 나도 그렇고 상대방도 지치게 하는 일이야,(팔을 펴서 스트레칭하고 있다.),지금 살아가는 이 순간은 다시 돌아오지 않으니까 시간은 금이라는 말이 나오는 걸까,요리를 하고 난 뒤에 뒷정리한다는 것은 항상 귀찮아 ..이건 안 고쳐지려나,창밖에 새가 날아가는 소리가 들렸는데 ..기분 탓일까 진짜일까?
26,조금 배고프네,구름은 어디로 하염없이 흘러갈까,아플 때 누군가 내 곁에 없으면 좀 서러워지더라.. 지금은 익숙해졌어,따뜻했던 나날을 기억한다면 어떤 기분이 들지 음..,아침에 일어나는 건 항상 힘들어.. 피곤함과 별개로 말이야,답은 정해져 있지 않기에 틀린 것이 아니라 우린 다른 거야,(다리를 펴서 스트레칭하고 있다.),건조기로 말리는 것도 좋지만 햇빛에 말린다면 더 좋을 거 같아,먹구름 위에는 해가 반짝이며 우리를 기다리고 있겠지,저번에 물을 급하게 먹다가 사레들린 적이 있었어. 더 조심해야겠어
27,목도 좀 마른 것 같기도 하고..,정리하기 귀찮아 ..해야 하는데,혼자가 되었다는 것에 이제는 익숙해 ..정말이야,1년 내내 비는 그치지 않을 거라고 생각해 ..아마도,전에 새벽에 잠깐 잠에서 깨어난 적이 있어 ,세월은 흐르는 강물처럼 절대 멈추지 않기에 지금이 소중하다고 생각해,(목을 좌우로 돌리며 스트레칭하고 있다.),Z신문을 자주 읽는 편이니?|읽어|가끔 신문을 보다 보면 내가 모르는 세상에 대해 궁금해져|안 읽어|어려운 용어와 글자가 많아서 손이 가는 편은 아닐거야,창밖에 새가 날아가는 소리가 들렸는데 ..기분 탓일까 진짜일까?,초콜릿을 먹으면 기분이 좋아져. 달콤함은 스트레스 해소에 도움이 되거든
28,여긴 좀 추운 거 같아,..흐음 뭐하지,예전에 반지하 방에서 살았을 때 비가 너무 많이 와서 물에 잠긴 적이 있어,Z이렇게 하루하루 살아가는 것이 너랑 많이 다를까?|달라|어떻게 하루를 지내는지 궁금하네. 괜찮은 하루였다면..|비슷해|비슷하구나. 그렇다고 나쁘다는 것은 아니야,가끔 내가 꿈을 꾸고 있는 건지 아닌 건지 헷갈릴 때가 있어,항상 필요한 물건을 찾으려면 보이지 않아 ..근처에 있으면 좋을 텐데,지금 살아가는 이 순간은 다시 돌아오지 않으니까..,부엌을 청소해야 하는 것을 생각은 하는데 몸이 잘 안 따르네,저번에 물을 급하게 먹다가 사레들린 적이 있었어. 조심해야겠어,음.. 예전에는 내가 지금 뭐 하고 지냈는지 기억이 안 나. 뭘 했을까..
29,(가만히 넋 놓고 있다.),...비 오네.. 계속..,오늘도 내일도 온종일 집에만 있을 예정이야,(무슨 생각하고 있는지 궁금해졌다.),요새는 미세먼지가 너무 심해. 비가 이렇게 오는데도 말이야,저번에 말했던 여우비에 대해 기억나니? 요즘 다시 보고 싶은 기분이 들어,언젠가 햇빛에 이불을 말릴 수 있으면 좋겠어,아무리 그래도 귀찮음을 떨쳐내는 것은 어려운 일이야,초콜릿을 먹으면 기분이 좋아져. 달콤함은 스트레스 해소에 도움이 되거든,Z밥 먹을 때 채소도 같이 먹는 편이니?|먹어|채소는 몸에 좋으니까 같이 먹으면 더 좋아|안 먹어|건강을 위해서라면.. 먹기 싫어도 채소를 먹어야 해
30,지금 몇 시지,..심심해.. 너무나,(눈이 마주쳤지만 바로 피해버렸다.),혼자가 익숙하게 느껴지면.. 그렇다면 평생 혼자여도 괜찮을까,예전에 인형 뽑기를 한 적이 있는데 ..돈만 날리고 못 뽑았어,5살 때 유치원에서 재롱잔치를 하다 운 기억이 나.. 모두가 날 보고 있어서 무서웠나 봐,마음속의 보슬비가 맑은 하늘을 보는 그날까지 ..언젠가는,책상에 먼지가 있길래 이왕 닦는 거 열심히 닦았어. 미루면 언젠가 해야 하는 일이 되니까,음.. 예전에는 내가 지금 뭐 하고 지냈는지 기억이 안 나,하기 싫은 일을 억지로 하다가는 언젠가 정말 힘든 기분이 몰려올 거야
31,..뭐하지,좀 추운 거 같은데 덮을 거 없나,(눈을 감고 있다. 무언가 생각하는 중인 걸까),(손가락을 쳐다보고 있다. 꼼지락거리고 있다.),반짝이는 돌을 주웠는데 까마귀가 물어갔어,어릴 때 작은 방에서 옹기종기 모여 잤던 기억이 떠올라,부엌을 청소하는 것을 잊었어. 나중에 해야겠어,안 보이는 것에는 그만큼 특별한 이유가 있는 것일까,Z수프를 먹어본 적이 있니?|있어|급식시간에 나오던 따뜻한 수프에 같이 주던 빵을 찍어 먹은 기억이 나|없어|나중에 한번 먹어봐. 모락모락 김이 날 정도로 따뜻하면 맛있어,수면은 사람이 살아가는 데 필요해. 뇌에 휴식을 줘야 하니까
32,..쩝,..목이 조금 아파,종이를 가지고 무엇을 할 수 있을까 ..뭔가를 적을까,(배가 고픈지 배를 쓰다듬고 있다.),새장에 갇힌 새처럼 나도 새장에 갇힌 기분이야,언젠가 햇빛에 이불을 말릴 수 있으면 좋겠어,밤하늘에 별들을 보며 소원을 빌고 싶어,무엇보다도 사람은 건강이 중요하다고 생각해. 몸이 불편하면 힘드니까,하기 싫은 일을 억지로 하다가는 언젠가 정말 힘든 기분이 몰려올 거야,창문에 커튼이 있으니 더 분위기가 있어 보여. 다양하게 장식해도 좋아
33,(손바닥을 보고 있다.),좋은 생각을 할 수가 없어,종이접기는 재밌으면서 뭔가 어려워,벽지가 화사해지면 좋겠어 밝은 톤으로,따뜻했던 나날을 기억한다면 내 마음속의 비가 그쳐질까?,과거의 실수가 있다면 언젠가 바로 잡을 수 있는 날이 왔으면 좋겠어,나에게 없는 소중한 것은 무엇일까,Z라면에 뭔가를 넣어서 먹는 편이니?|응|라면에 떡을 넣어서 먹으면 더 맛있는 거 같아|아니|깔끔하게 기본적인 것만 넣어도 맛있어,수면은 사람이 살아가는 데 필요해. 뇌에 휴식을 줘야 하니까,책상에 뭔가 있어서 봤는데 저번에 버리다 만 종이가 있었어. 바로 치웠지
34,(천장을 바라보고 있다.),학창시절에 대한 추억이 그렇게 좋게 떠오르지 않아,언제까지 있을 예정인지는 모르지만 ..음,벽에 무언가를 붙인다면 붙여져있다면 ..음,요즘은 비가 언젠가 그칠 거라는 믿음이 생겨,만족하지 못하는 삶이라도 ..그래도,혼자인 게 편할 때도 있고 함께라서 좋은 점도 있는 거 같아,어릴 때 시골에서 잠자리채로 벌레를 잡으려고 돌아다닌 기억이 나,창문에 커튼이 있으니 더 분위기가 있어 보여,창문에 비가 두드리는 소리가 나는데 마치 날 부르는 듯한 느낌이야
35,(창밖을 쳐다보고 있다.),사람이 항상 긍정적일 수는 없지,창문이 이제는 흔들리지 않았으면 좋겠어,(왼쪽을 쳐다보다가 오른쪽을 쳐다본다.),나의 하루를 살아가는 삶이 나쁘지 않다는 기분이 들어,나도 모르게 빗소리에 집중하고 있으면 불안감이 사라져가,비 오는 날에 따뜻한 차 한잔과 함께 하루를 보내고 싶어,귀찮은 것을 다 떨쳐내지는 못하지만 언젠가 많이 없어질 거라고 생각해,책상에 뭔가 있어서 봤는데 저번에 버리다 만 종이가 있었어,맑은 날에 잘못 환기하면 미세먼지가 그대로 집 안으로 들어오니 조심해야 해
36,(바닥에 있는 먼지를 보고 있다.),큼.. 감기라도 걸렸나..,밤에 창문이 세차게 흔들릴 때가 있어. 그때 잠에서 깨거든,(인상을 찌푸리다가 이내 표정을 고쳐잡는다.),(생각에 잠긴 듯한 기분이다.),산타클로스는 어딘가에 존재한다고 어릴 때는 믿었었는데 ,좋은 과거는 금방 잊어 ..그래서 사람은 망각의 생물이라고 하나 보다,전에 사전에서 나비 관련을 봤는데 정말 다양하더라,창문에 비가 두드리는 소리가 나는데 마치 날 부르는 듯한 느낌이야,우산은 네가 없는 날에 가끔 펴서 말려. 그러니 걱정하지마
37,뭐라도 해야 하는 걸까,영양가 있는 음식을 먹은 지 얼마나 되었을까,책상에 무엇을 두는 게 좋을까,마음속에서 계속 비가 내리는 기분이야 ,Z만약 사람이 평생 혼자라면 잘못된 것일까?|그렇다|혼자만으로 무리가 있을 수 있으니 언젠가는 함께 다녀야겠지|아니다|요즘에는 혼자 사는 사람이 많아졌으니까 단정 지을 수는 없어,오래간만에 먹고 싶었던 음식을 먹었는데 정신 차리고 보니 꿈이었어 ..아쉬워,나쁜 과거는 그림자처럼 달라붙지.. 쉽게 잊히지 않아,사전에 모르는 정보를 찾아보는 재미가 있지. 아직 모르는 게 많아,이런 날씨에 잘못 환기를 시키면 비바람이 그대로 집 안으로 들어오니 조심해야 해,Z(창문을 쳐다보고 있다.) |같이본다|너도 창문을 보는 것을 좋아하는 구나|안 본다|창밖을 보면 여러 가지를 볼 수 있어. 나중에 보렴
38,정리하기 귀찮아,이대로 있으면..,빗물이 많이 모이면 좋은 일이 생길까,Z지금의 삶에 만족한다는 것이 이상하니?|이상해|..이상하다고 생각하겠지만 그래도 나름 괜찮다고 생각해|아니|이해를 해주는 거라면.. 그런거면..,언젠가 벽지를 화사하게 꾸미는 날이 올 거야,천둥이 치는 날이면 어릴 때 길가에 미동도 없었던 하얀 비둘기가 떠올라,어릴 때 소꿉놀이하며 같이 놀았던 아이가 떠올라,어릴 때 소꿉놀이하며 같이 놀았던 아이가 떠올라. 뭐 하고 지낼까,우산은 네가 없는 날에 가끔 펴서 말려. 걱정하지마,우산은 아무렇게 놓으면 안 돼. 우산꽂이에 있어야 하지
39,(벌레를 보는 중),새콤 달콤한 과일을 먹고 싶어,조용하게 혼자 있을 때가 좋은 거 같아,..내가 힘든 것이 불평불만을 표현하면 무언가 달라질까?,벽이 깔끔한 편이 좋다고 생각해 ..아마도,(가전제품을 쳐다보고 있다.),Z밥 먹을 때 채소도 같이 먹는 편이니?|먹어|채소는 몸에 좋으니까 같이 먹으면 더 좋아|안 먹어|건강을 위해서라면.. 먹기 싫어도 채소를 먹어야 해,Z밥 먹을 때 채소도 같이 먹는 편이니?|먹어|채소는 몸에 좋으니까 같이 먹으면 더 좋아|안 먹어|건강을 위해서라면.. 먹기 싫어도 채소를 먹어야 해,창문이 많이 안정되어서 바람에 흔들리는 일이 거의 없어졌어,식물을 키운다는 것은 인내와 정성이지. 언젠가 꼭 피어나는 것을 아니까
40,한 것도 없는데 지치네..,감기 걸릴 거 같아,혼자가 익숙하게 느껴지면.. 그렇다면 ...,힘들어도 이겨내야만해 ..그래야만 하니까,(왼쪽을 쳐다보다가 오른쪽을 쳐다본다.),(하품하다가 눈에 맺힌 눈물을 닦고 있다.),Z라면에 뭔가를 넣어서 먹는 편이니?|응|라면에 떡을 넣어서 먹으면 더 맛있는 거 같아|아니|깔끔하게 기본적인 것만 넣어도 맛있어,안 본 지 오래된 친구들이 가끔 떠오를 때가 있어. 지금처럼,우산은 아무렇게 놓으면 안 돼. 우산꽂이에 있어야 하지,저번에 통조림을 잘못 까서 부엌 여기저기에 음식물이 묻은 적이 있어. 조심해야겠어
