index,공원,도시
48,야시장의 불빛을 보면 뭔가 따뜻해지는 기분이 들어,길을 건너다가 우산이 뒤집힌다면 ..정말 기분이 안 좋을 거야
49,작은 불빛이 하나에서 여러 개로 점점 늘어난다면 좋겠지,카페에 가면 커피를 마실 수 있겠지
50,구석 어딘가에 우울한 기분을 떨쳐낼 수는 없어. 함께 살아가야지,나는 은은한 커피 향이 좋아
51,이런 생각을 하고 있다는 걸 다른 사람들에게 알려줘야 할까,도시에는 무서운 사람들만 가득한 줄 알았는데 그렇지 않아
52,할 필요가 있다고 생각하지만 꼭 할 필요는 없다면 굳이 하지 않아도 괜찮지 않을까,어두운 골목길은 아무래도 조심해야겠지
53,시장에서 여러 가지를 팔고 있던데 나중에 한번 봐야겠어,사람이 많으면 걸어 다니기 힘들어
54,집안에 동물을 기른다면 방의 분위기가 달라질 거라고 생각해,도시에 있는 사람들은 모두 바쁘게 걷고 있어
55,(저쪽을 보고 있다.) 기둥에 달팽이가 붙어있어,(길가에 굴러다니는 쓰레기를 보고 있다)
56,달팽이는 느리게 기어가도 어느 순간 목적지에 도달해 있어. 속도가 느려도 말이야,이렇게 도시에서 사람들 구경도 하고 좋은 거 같아
57,빠른 게 좋을 때가 있고 느린 게 좋을 때가 있지,통화를 하면 왜 언성이 높아지는 걸까 ..음
58,음.. 비를 보면.. (생각에 잠겨있다.),멀리서 봤을 때는 좋았지만 가까이서 보면 실제 모습과 달라
59,시소를 잘못 타면 엉덩이가 아파져. 재밌지만 무서울 때도 있었어,비 오는 날에 흰 운동화를 신고 나오는 건..
60,어릴 때 그네를 탈 줄 몰라서 뒤에서 밀어줬었지 ..그립네,항상 나밖에 몰랐는데 다른 사람들을 보니 생각이 달라져
61,놀이터를 보면 어린 시절 추억이 새록새록 떠올라,몸이 끈적거리면 모든 것이 싫어질 때가 있어
62,시장에서 가끔 그림들을 팔고 있던데 ..음,방금 물이 튈 뻔했어. 조심해야겠어
63,시장에서는 대화를 못 하지만 놀이터에서는 말할 수 있어,비 오는 날에 클래식을 들으면 마음이 편해져
64,놀이터에서 바닥을 보면 가끔 낙엽이 있을 때가 있지. 주우면 좋은 일도 있고,무언가를 이루기 위해 가다 보면 장애물이 존재할 때가 있어
65,세월이 흘러도 변하지 않는 건 지금 내리는 비구나,어떻게 극복은 하는 것에 따라 결과가 달라져
66,밤에 밖으로 나오면 가끔 풀벌레 소리가 들리는 기분이야,도시에는 공원처럼 나무가 많이 있지 않구나
67,행복하고 싶으면 행복을 찾아야겠지 ..근데 어디 있는지는 모르겠어,길을 가다 넘어지면 아프기도 하지만 부끄러워
68,근처에 산책로가 있다고 들었는데 ..음,보도블록이 가끔 보면 손상된 곳이 있어. 위험해 보여
69,여기 말고 나중에 도시 쪽으로 갈 수 있지 않을까,손 하나 까딱하기 싫은 날이 있을 때도 있지
70,정해진 규칙이 있다면 지키는 편이 좋겠지. 나중을 생각해서라도,하기 싫은데 하라고 하면 더 하기 싫어져
71,비가 오면 미세먼지로 오염되었던 공기가 깨끗해져서 상쾌한 기분이 들어,흘러가는 구름의 끝은 어디로 도달할까
72,미래가 어떻게 될지 모르니까 다들 걱정을 하면서도 기대를 하고 있지,안개 낀 날씨에는 조심해서 걸어야 해
73,호기심이라는 것은 알 수 없어. 정말 알 수 없으니까,바쁜 자동차들.. 바쁜 사람들.. 바쁜 세상
74,비를 좋아하는 사람이 있고 싫어하는 사람도 있어,내가 해줄 수 있는 것이 아무것도 없다면 ..나의 기분은
75,지금 이 순간을 언젠가는 그리워 하는 날이 올지도 모르지 ..언젠가는,쓰레기는 넘쳐가고 있지만 담을 곳은 점점 줄어 들어가
76,서로 간에 만남이 있으면 언젠가 헤어짐도 있는 법이지 ..우리도 마찬가지야,얽혀있는 전깃줄 아래에서 모두가 도시 속에 갇힌 거 같아
77,만약 배가 고프면 야시장에서 간단한 먹거리들을 사 먹을 수 있어,큰 도시로 간다면 길을 잃지 않도록 조심해
78,어릴 때 시골에서 맑은 하늘에 봤던 은하수가 떠올라. 지금은 볼 수 없는 풍경이지,건물이 무너지는 모습을 꿈에서 본 적이 있어 ..무서웠지
79,풀잎에 맺힌 이슬을 쳐다보고 있으면 또르르 굴러가는 걸 볼 수 있어,저번에 누군가가 나에게 길을 물어봤지만 아는 것이 없어서 대답을 못 했어
80,계속 서 있으면 비 내음이 나는데 그리 나쁘지는 않아,지금 이 순간이 누군가에게는 귀중한 시간이 될 거야
81,너와 내가 함께 한 시간이 얼마나 될까 ..음,쉬고 싶은 사람들은 많을 거야. 하지만 쉴 수 없어서 안타까워
82,무언가 계속 생각이 든다면 그건 좋은 걸까 나쁜 걸까?,아무것도 모를 수 있어. 천천히 알아가면 되니까
83,비가 그치지 않는 한 놀이터에서 무언가를 타기 힘들겠지,많은 사람 속에서 스쳐 지나가는 인연이 몇이나 될까
84,(우산에서 똑똑 떨어지는 빗물을 쳐다보고 있다.),생각보다 길이 미끄러우니까 조심해야겠어
85,그래도 예전이나 지금이나 놀이터를 보는 건 좋은 일이야,오피스텔에 많은 사람들이 살고 있지 않을까 생각해
86,아이들이 안전하고 건강하게 놀이터를 뛰어다니며 놀았으면 좋겠어,높은 빌딩과 작은 건물들 그 속에 살고 있는 우리들..
87,슬프지만 이겨내야 한다고 말하지만 지금 당장 슬픈데 이겨낼 힘이 있을까?,저 많은 건물들의 주인은 누구일까. 궁금하네
88,억지로 권유하면 그건 선을 넘는 행동이야,편히 쉴 수 있는 집은 있지만 자신의 것은 아니겠지
89,생각이 다르다고 틀린 취급을 하는 건 좋지 못한 행동이라고 생각해,모두가 행복한 하루를 보낼 수는 없는 걸까?
90,차이가 있기 때문에 지금 이렇게 살아가는 거라는 생각이 들어,도시에 깨끗한 면이 있는가 하면 너저분한 면이 숨어져 있어
91,빗속에서의 산책은 언제나 새로운 기분을 들게 만들어,시원한 곳에 가면 덜 끈적일 거라고 생각해
92,기쁠 때나 슬플 때나 함께 있어 준다는 것은 좋은 일이겠지,울음을 참게 된다면 우는 법을 잊어버릴지도 몰라
93,누군가 달래준다는 것은 좋을지도 모르지만 혼자 있고 싶다면 달라지지,슬플 때 웃으라는 사람들이 있지만 ..정말 그게 좋은 걸까
94,나에게 생각이 있다면 무언가 실천을 해야 할지는,(어느새 더러워진 장화를 쳐다보고 있다.) 밖에 돌아다니면 금방 더러워져
95,기분이 안 좋을 때는 하늘에서 내리는 비를 바라봐,힘이 되는 말을 해주고 싶지만 역효과가 일어날 수도 있어
96,구구절절 맞는 말만 할 수는 없어. 모든 게 완벽할 수는 없으니까,길을 가다 멈추는 사람들이 보여
97,연락하며 살아가는 것은 좋은 일이야. 가볍게 안부를 물을 수도 있고,편리해서 좋은 것도 있지만 반대로 무언가를 잃은 것도 있지 않을까
98,비에 젖어가는 놀이터는 분위기가 무거운 느낌이 들어,재능이 있다면 그것을 살리는 것이 좋을까
99,밝았던 놀이터라도 비가 오면 아무도 찾아오지 않는구나,알고 있는 사실이 거짓이라는 것을 알게 된다면 어떤 기분일까
100,아이들이 뛰어다니며 노는 모습을 보면 나까지 기분이 좋아져,비가 오면 새들은 자유롭지 못하는 거 같아. 날개가 젖어서 날 수 없겠지
101,(바닥에 떨어지는 빗물을 하염없이 쳐다보고 있다.),믿었던 누군가에게 배신을 당하면 ..너무 슬플 거 같아
102,더위를 씻겨주는 비는 작은 선물과도 같아,(위를 쳐다보다가 이내 눈을 감는다.)
103,추운 날에 비가 온다면 더 추워지겠지. 그럼 감기에 걸리기 더 쉬울 거야,모르는 장소에서 길을 물어보려다 무시당한 적이 있어 ..음
104,..에 에취! (기침 소리에 민망해하고 있다.),모른다고 무시당하는 건 괜찮은 걸까?
105,배가 고플 때 무언가를 먹을 수 없다면 괴로울 거라고 생각해,알고 싶은 것이 있는가 하면 모르고 싶은 것도 있어
106,날씨가 처지면 몸과 마음도 처지는 기분이 들어,습도가 높은 날씨에는 움직이는 것조차 싫어
107,주변 환경에 따라서 나의 마음도 달라지지. 긍정적이든 부정적이든 둘 다 말이야,혼자여서 좋을 때도 나쁠 때도 있어. 함께여도 말이야
108,비가 오니까 저 멀리 산 사이에 안개가 보여. 저 위는 어떻게 생겼을까?,모두 가끔 외로울 때가 있지. 나도 그렇고..
109,산을 오르면 힘들지만 그 뒤에는 뭔가 개운해지는 기분이 들어,멀리서 맛있는 냄새가 나는 거 같아 ..음
110,여기는 바람이 시원한데 너에게도 느껴지면 좋겠어,지금은 싫을 수 있지만 언젠가 나중에는 좋아질 때도 있을까?
111,시간이 없다가도 막상 시간이 생기면 무엇을 해야 할지 몰라,구름 위에는 맑은 하늘이 있을까
112,손이 차가운 사람은 마음이 따뜻하다고 장난으로 이야기하지. 진짜인지는 잘 모르겠어,다른 사람들이 무슨 생각을 하고 있는지 궁금할 때가 있어
113,전에 봤던 놀이터랑은 좀 다르게 생겼네,길을 가다가 어떤 사람이 날 쳐다봤는데 무슨 생각을 했을까
114,미끄럼틀을 타다가 잘못해서 엉덩이를 찧은 적이 있었어 ..아프지만 민망하기도 했어,시선 집중이 되면 당황할 때가 있어 ..왜 그랬을까
115,비는 계속 멈추지 않고 흘러갈 거야. 저 너머 어딘가로 계속,도시만큼 빠르게 변하는 것은 없을 거야. 아마도
116,..흐르는 강물처럼 흐르는 빗물,예전에 봤던 곳이 어느새 바뀌어 있어. 빠르게 변해가
117,비 오는 날씨에 바다를 가면 더 춥지 않을까,이런 날씨에 선글라스를 쓸 필요는 없겠지
118,꿈을 꾸더라도 따뜻한 꿈을 꾸고 싶어. 차가운건 이제 싫거든,이미 흘러가는 것을 멈출 방법은 없을까
119,이런 날씨에는 따뜻한 음식을 먹어주면 몸과 마음이 편안해질 거야,여기에 내가 살고 있고 존재해
120,마음이 편안해지면 하는 일이 무엇이든 편안할 거라고 생각해,노래방에 가본 지 오래된 거 같아. 있는 힘껏 크게 부를 수 있겠지
121,울고 싶은 마음을 참으면 나중에 병이 생겨,어릴 때 풍선을 타고 하늘을 날아가고 싶다는 생각을 했었지
122,..가끔은 털어내고 싶을 때는 마음껏 털어낼 필요가 있다고 생각해,가끔 하수구에서 냄새가 올라올 때가 있지 ..으
123,아까 잘못 걸어서 장화에 물이 많이 튀었어 ..으,좋은 사람이 되고 싶지만 그렇게 되려고 노력하기 힘들어
124,집에 들어가면 장화와 우산을 말려야겠지. 안 말리면 냄새가 올라올 거야,울고 싶은데 눈물이 나지 않을 때가 있어 ..정말 울고 싶은데
125,..음 언젠가는 마르겠지?,모두가 자유롭게 하늘을 날 수 있다면 얼마나 좋을까
126,비바람에 흔들리는 그네를 보고 있었어. 뭔가 으스스하기도 해,밤에 내리는 비는 낮에 더욱 더 어두운 거 같아
127,저번에 비바람이 많이 불던 날 나가다가 우산이 뒤집힐 뻔했어,잊고 싶지 않은데 잊어갈 때가 있어. 점점 사라져가
128,지금 신고 있는 장화가 생각보다 편해서 좋아,(갑자기 하늘에서 번쩍인다.) 천둥이 치려나?
129,우산이 튼튼한 편이라 외출할 때 걱정 없어 ..아마도,귀찮다는 생각이 들어도 어딘가에 필요할 수도 있다고 생각해
130,처음엔 어색해도 같이 있으니 익숙하구나 ..음,시도를 한다면 성공할까 실패할까
131,언젠가는 ..음 (하늘을 보며 무언가를 생각하고 있다.),마음에 평화가 가득 찬다면 조금이라고 기분이 좋지 않을까
132,슬퍼도 웃으라는 말은 쉽지 않아. 뜻대로 되지 않는걸..,조금 머리가 어지러운 거 같아. 쉬면 괜찮아지겠지
133,나의 사정을 모르고 건네는 말들은 상처로 다가올 수 있어,영화관에서 영화를 본 지 오래된 거 같아
134,소나기를 무턱대고 맞으면 빗줄기가 센 편이라 아플 수 있어,떨어져 추락하고 있을 때 누군가 손을 내밀에 이끌어 줬으면 좋겠어
135,삶을 하고 싶은 대로 막 하면서 살 수는 없어. 좋지 못한 방법이야,슬플 때 노래를 부르면 기분이 나아진다고 하더라
136,관계가 좋더라도 과하게 선을 넘으면 조금 그럴 수 있지,(눈빛이 무언가 슬퍼 보인다.) ...
137,비 오는 날에 클래식을 들으면 색다른 기분을 느낄 수 있어,하늘을 보면 가끔 무언가 빠르게 지나갈 때가 있어
138,물웅덩이에 낙엽이 보여. 많지는 않네,(흥얼거리며 하늘을 쳐다보고 있다.)
139,붕어빵을 먹어봤는데 팥앙금이 따뜻해서 더 달콤했어,(벽에 붙어있는 전단지를 보고 있다.)
140,예전에 문어빵을 파는 곳이 얼마 없었는데 요즘은 잘 보이는 편이야,뭔가 피곤한 기분이야 ..으음
141,Z핫도그에 케찹이랑 머스타드 중에 뭐가 좋아?|케찹|케찹의 짠맛과 토마토의 향이 느껴져서 잘 어울린다고 생각해|머스타드|새콤달콤해서 머스타드를 뿌려 먹을 때도 있긴 하지|,Z언젠가 꼭 해보고 싶은 일이 있니?|응|언젠가 이루어질 수 있을 거라고 생각해|아니|나도 그랬는데 최근에 생긴 것 같은 기분이 들어
142,Z음.. 이제 슬슬 집으로 돌아갈까? |돌아가자|그러면 조금만 더 있다가 집에 가도록 할까. 바깥 공기가 시원해서 좋아 |아직|더 머무르고 싶지만 언젠가는 돌아가야 하겠지. 이따가 나중에 말이야,Z버스를 타고 여행 간다면 어디를 가고 싶어?|산|높은 정상에 올라가 크게 소리쳐 메아리를 듣고 싶어|바다|모래사장 밭을 뛰어다니다 밀려오는 파도에 발을 담가보고 싶어
143,Z닭강정에 두 가지 맛이 있던데 어느 게 좋아? |매운맛|너무 매운 건 못 먹지만 적당하게 매콤하면 스트레스도 풀리고 땀도 나서 괜찮아|달콤한맛|달달한 게 입에 넣으면 바삭함과 어우러져서 더 맛있는 거 같아,Z내가 무언가를 할 용기가 있을까?|응|손길을 내민다면 붙잡을 용기가 있었으면 좋겠어|아니|용기가 나더라도 자신감이 아직 부족한 걸지도 모르겠어
144,Z혹시 비 오는 날씨 싫어하는 편이니?|응|그래. 비가 오는 날씨를 싫어할 수도 있지|아니|시원해서 좋아할 수도 있지. 보는 것도 좋고,Z옥상에 올라가서 하늘을 본 적이 있니?|있어|밑에서 보는 것과 다르게 더 넓고 깊어 보여|없어|위로 올라가는 건 생각보다 무섭지 않으니까 나중에 시도해봐
145,Z(나를 뚫어지게 쳐다보고 있다.) |말을건다|..그냥 같이 이렇게 서있을 거라고는 처음 만났을 때는 몰랐거든 (고개를 돌린다.)|무시한다|..음 비가 많이 오네 (시선이 점점 사라지고 있다.),Z도시에 정말 쥐가 살고 있을까?|아마도|영화처럼 움직이지는 않겠지..? 조금 무서워졌어|글쎄|본 적이 없어서 모르겠어. 없을지도 모르겠네
146,Z어릴 때는 많이 왔는데.. 최근에 놀이터 온 적 있니?|왔어|오면 미끄럼틀이나 그네 정도는 탈 수 있겠지. 그냥 보고 가도 좋고|안 왔어|어릴 때는 자주 왔겠지만 어른이 되면서는 바빠서 올 시간도 없고 잊혀가겠지,Z벗어날 수 없다면 포기를 해야 할까 아니면 시도를 해야 할까?|포기|할 수 없으면 즐기라는 말은 아닐지도 모르겠어|시도|쉽게 포기하지 말라는 말이 괜히 있는 건 아닐 거라 생각해
147,Z이렇게 밖으로 나오는 것을 좋아하는 편이니?|좋아|밖으로 나오면 집안의 답답함이 사라져서 좋긴 해|별로|방 안에서 머무르는 것을 좋아한다면 그럴 수도 있지,Z카페에서 뭔가 마실 때 커피는 어떠니?|좋아|커피의 향이 몸을 진정시켜주는 거 같아서 좋아. 편안해지는 기분이거든|싫어|쓴맛이 싫을 수도 있어. 나도 처음 마셨을 때 쓴맛이 싫었거든
148,Z물이 점점 튀는 거 같은데..(어떻게 할까?) |감싸준다|(당황하는 모습이 보인다.)..앗 고마워|닦아준다|..고마워 여기에 물이 튀었구나. 몰랐어,Z영화관에서 영화를 본 적이 있니?|있어|화면이 TV와 비교도 안 될 정도로 커다랗게 있어. 소리도 크고|없어|혼자서 편안히 즐기는 것도 좋아. 돈도 아끼고 좋지
149,Z혼자서 이렇게 있고 싶은 게 나쁜 걸까..|글쎄|사실 나도 잘 모르겠어. 괜찮다 생각되더라도 아닌 거 같으니까|아마도|나쁘다고 생각하지만 어떻게 해야 할지를 아직 모르는 걸 수도 있지,Z무언가를 쓸 때 연필이랑 볼펜 중에 무엇이 좋니?|연필|사각사각 종이에 연필을 사용해서 적으면 느낌이 좋지|볼펜|잉크에 힘을 실어 종이에 글을 적어 내려가. 나쁘지 않아
150,Z바라는 소원이 있다면 언젠가는 이루어지는 날이 올까?|그럴거야|정말로 원한다면 이루어지겠지? 나의 소원도 너의 소원도 언젠가는 말이야|모르겠어|아마도 이루어 질 수 없기에 더 소중하다는 생각이 드는 걸지도 모르겠어,Z밖에 나오는 것이 좋아 아니면 안에 있는 것이 좋니?|밖에|활동적이고 가만히 있는 것보다 움직이는 게 건강에 좋긴 할 거야|안에|조용히 있을 수도 있고 혼자만의 시간을 보내기에 좋다고 생각해
